Component,Provider,Cost_Per_Call_USD,Calls_Per_Task,Tasks_Per_Batch,Monthly_Batches,Monthly_Cost_USD,Notes
Scout,Local (stdlib),0.000,1,20,4,0.00,Zero cost - local data lookup
Draft_Mock,MockProvider,0.000,4,20,4,0.00,Placeholder - no API cost
Draft_SD15,Stable Diffusion 1.5 (local),0.001,4,20,4,0.32,Self-hosted GPU
Draft_Flux,Together.ai Flux,0.003,4,20,4,0.96,API pricing
Draft_DALLE,OpenAI DALL-E 3,0.040,4,20,4,12.80,Premium option
Critic_Rules,Local (stdlib),0.000,1,20,4,0.00,Current rule-based
Critic_LLM,Claude Haiku,0.001,5,20,4,0.40,L1-L5 per-dimension
Queen,Local (stdlib),0.000,2,20,4,0.00,Budget logic only
Archivist,Local (stdlib),0.000,1,20,4,0.00,File generation only
Fallback_Overhead,Mixed,0.001,1,20,4,0.08,Retry/fallback overhead
Total_Mock_Mode,-,-,-,-,-,0.00,Current prototype
Total_Budget_SD15,-,-,-,-,-,0.72,Self-hosted + rules
Total_Mid_Tier,-,-,-,-,-,1.36,Together.ai + Haiku critic
Total_Premium,-,-,-,-,-,13.20,DALL-E + Haiku critic
